Spread,Home,Away
0,50.00%,50.00%
0.5,50.00%,50.00%
1,51.10%,48.90%
1.5,52.30%,47.70%
2,54.30%,45.70%
2.5,56.30%,43.70%
3,58.20%,41.80%
3.5,60.10%,39.90%
4,61.90%,38.10%
4.5,63.60%,36.40%
5,65.80%,34.20%
5.5,68.00%,32.00%
6,70.10%,29.90%
6.5,72.10%,27.90%
7,74.20%,25.80%
7.5,76.30%,23.80%
8,78.40%,21.70%
8.5,80.50%,19.60%
9,82.80%,17.20%
9.5,85.20%,14.80%
10,87.30%,12.70%
10.5,89.40%,10.60%
11,91.30%,8.70%
11.5,93.20%,6.80%
12,95.00%,5.00%
12.5,96.80%,3.20%
13,98.70%,1.30%
13.5,99.30%,0.70%
14,99.80%,0.20%
100,100.00%,0.00%
